contest_id,date,election,state,seat,seat_type,seat_no,seat_name,seat_key,year,win_candidate_uid,win_name,win_party_uid,win_party,win_coalition_uid,win_coalition,win_votes,win_votes_perc,win_result,run_party_uid,run_party,run_coalition_uid,run_coalition,run_votes,run_votes_perc,voters_total,votes_valid,majority,n_candidates,voter_turnout,majority_perc,margin_perc,uncontested
1990-10-20|Selangor|P.091 Puchong,1990-10-20,GE-08,Selangor,P.091 Puchong,federal,091,Puchong,federal|Selangor|puchong,1990,S2P87,David S. Vethamuthu (V. David),021-DAP,DAP,006-GR,GR,35495,52.67727286218872,won,003-MCA,MCA,001-BN,BN,31887.0,47.322727137811285,98733,67382,3608,2,70.57214912947039,5.354545724377431,5.354545724377438,False
1990-10-20|Selangor|P.092 Shah Alam,1990-10-20,GE-08,Selangor,P.092 Shah Alam,federal,092,Shah Alam,federal|Selangor|shah alam,1990,66HW8,Rakibah binti Abd. Manap,001-UMNO,UMNO,001-BN,BN,41767,62.43572111934944,won,062-S46,S46,005-APU,APU,25129.0,37.56427888065056,90248,66896,16638,2,76.09476110273911,24.87144223869888,24.871442238698876,False
1990-10-20|Selangor|P.093 Klang,1990-10-20,GE-08,Selangor,P.093 Klang,federal,093,Klang,federal|Selangor|klang,1990,G1GVR,Fong Kui Lun,021-DAP,DAP,006-GR,GR,31413,57.09482178883658,won,003-MCA,MCA,001-BN,BN,23606.0,42.90517821116342,80860,55019,7807,2,69.5461291120455,14.189643577673166,14.189643577673166,False
1990-10-20|Selangor|P.094 Kuala Langat,1990-10-20,GE-08,Selangor,P.094 Kuala Langat,federal,094,Kuala Langat,federal|Selangor|kuala langat,1990,GS84V,Basri bin Bajuri,001-UMNO,UMNO,001-BN,BN,22607,61.87087769232874,won,062-S46,S46,005-APU,APU,13932.0,38.12912230767125,48369,36539,8675,2,78.9162480100891,23.74175538465749,23.741755384657488,False
1990-10-20|Selangor|P.095 Sepang,1990-10-20,GE-08,Selangor,P.095 Sepang,federal,095,Sepang,federal|Selangor|sepang,1990,QMM9D,Mohd Sharif bin Jajang,001-UMNO,UMNO,001-BN,BN,22855,62.88001760805568,won,062-S46,S46,005-APU,APU,13492.0,37.11998239194432,48579,36347,9363,2,77.11562609357952,25.760035216111373,25.760035216111362,False
1990-10-20|Terengganu|N.01 Kuala Besut,1990-10-20,SE-08,Terengganu,N.01 Kuala Besut,state,01,Kuala Besut,state|Terengganu|kuala besut,1990,KM0YX,Wan Zakaria bin Abd. Rahman,001-UMNO,UMNO,001-BN,BN,3765,51.80955002064126,won,004-PAS,PAS,005-APU,APU,3502.0,48.190449979358746,8902,7267,263,2,83.71152549988766,3.6191000412825103,3.6191000412825147,False
1990-10-20|Terengganu|N.02 Kampung Raja,1990-10-20,SE-08,Terengganu,N.02 Kampung Raja,state,02,Kampung Raja,state|Terengganu|kampung raja,1990,TFD3F,Abdullah bin Muhammad,001-UMNO,UMNO,001-BN,BN,4209,52.10448130725427,won,062-S46,S46,005-APU,APU,3869.0,47.89551869274573,9769,8078,340,2,84.7476712048316,4.2089626145085415,4.208962614508536,False
1990-10-20|Terengganu|N.03 Jertih,1990-10-20,SE-08,Terengganu,N.03 Jertih,state,03,Jertih,state|Terengganu|jertih,1990,49AY0,Abd. Latif bin Mohamad,004-PAS,PAS,005-APU,APU,4382,53.654952859066974,won,001-UMNO,UMNO,001-BN,BN,3785.0,46.34504714093302,10206,8167,597,2,82.20654516950813,7.309905718133954,7.309905718133955,False
1990-10-20|Terengganu|N.04 Hulu Besut,1990-10-20,SE-08,Terengganu,N.04 Hulu Besut,state,04,Hulu Besut,state|Terengganu|hulu besut,1990,2XNTV,Ahmad bin Bakar @ Daud bin Abu Bakar,001-UMNO,UMNO,001-BN,BN,4123,53.32384893947232,won,004-PAS,PAS,005-APU,APU,3609.0,46.67615106052768,9267,7732,514,2,85.59404337973454,6.647697878944646,6.647697878944641,False
1990-10-20|Terengganu|N.05 Jabi,1990-10-20,SE-08,Terengganu,N.05 Jabi,state,05,Jabi,state|Terengganu|jabi,1990,9S1ZD,Zahari bin Muhammad,004-PAS,PAS,005-APU,APU,4210,57.015167930660894,won,001-UMNO,UMNO,001-BN,BN,3174.0,42.98483206933911,9046,7384,1036,2,83.7497236347557,14.030335861321776,14.030335861321781,False
