slug,date,state,seat
p012-jerai-kedah,1974-08-24,Kedah,P.011 Jerai
p012-jerai-kedah,1969-05-10,Kedah,P.010 Jerai
p012-jerai-kedah,1964-04-25,Kedah,P.010 Jerai
p012-jerai-kedah,1959-05-20,Kedah,P.010 Jerai
p012-jerai-kedah,1955-07-25,Kedah,P.041 Kedah Tengah
p013-sik-kedah,2022-11-19,Kedah,P.013 Sik
p013-sik-kedah,2018-05-09,Kedah,P.013 Sik
p013-sik-kedah,2013-05-05,Kedah,P.013 Sik
p013-sik-kedah,2008-03-08,Kedah,P.013 Sik
p013-sik-kedah,2004-03-21,Kedah,P.013 Sik
p013-sik-kedah,1999-11-29,Kedah,P.013 Sik
p013-sik-kedah,1995-04-24,Kedah,P.013 Sik
p013-sik-kedah,1990-10-20,Kedah,P.012 Sik
p013-sik-kedah,1986-08-02,Kedah,P.012 Sik
p013-sik-kedah,1982-04-22,Kedah,P.009 Ulu Muda
p013-sik-kedah,1978-07-08,Kedah,P.009 Ulu Muda
p013-sik-kedah,1974-08-24,Kedah,P.009 Ulu Muda
p013-sik-kedah,1969-05-10,Kedah,P.009 Kedah Tengah
p013-sik-kedah,1964-04-25,Kedah,P.009 Kedah Tengah
p013-sik-kedah,1959-05-20,Kedah,P.009 Kedah Tengah
p013-sik-kedah,1955-07-25,Kedah,P.041 Kedah Tengah
p014-merbok-kedah,2022-11-19,Kedah,P.014 Merbok
p014-merbok-kedah,2018-05-09,Kedah,P.014 Merbok
p014-merbok-kedah,2013-05-05,Kedah,P.014 Merbok
p014-merbok-kedah,2008-03-08,Kedah,P.014 Merbok
p014-merbok-kedah,2004-03-21,Kedah,P.014 Merbok
p014-merbok-kedah,1999-11-29,Kedah,P.014 Merbok
p014-merbok-kedah,1995-04-24,Kedah,P.014 Merbok
p014-merbok-kedah,1990-10-20,Kedah,P.011 Merbok
p014-merbok-kedah,1986-08-02,Kedah,P.011 Merbok
p014-merbok-kedah,1982-04-22,Kedah,P.012 Kuala Muda
p014-merbok-kedah,1978-07-08,Kedah,P.012 Kuala Muda
p014-merbok-kedah,1974-08-24,Kedah,P.012 Kuala Muda
p014-merbok-kedah,1969-05-10,Kedah,P.009 Kedah Tengah
p014-merbok-kedah,1964-04-25,Kedah,P.009 Kedah Tengah
p014-merbok-kedah,1959-05-20,Kedah,P.009 Kedah Tengah
p014-merbok-kedah,1955-07-25,Kedah,P.041 Kedah Tengah
p015-sungai-petani-kedah,2022-11-19,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,2018-05-09,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,2013-05-05,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,2008-03-08,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,2004-03-21,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,1999-11-29,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,1995-04-24,Kedah,P.015 Sungai Petani
p015-sungai-petani-kedah,1990-10-20,Kedah,P.014 Sungai Petani
p015-sungai-petani-kedah,1986-08-02,Kedah,P.014 Sungai Petani
p015-sungai-petani-kedah,1982-04-22,Kedah,P.013 Sungai Petani
p015-sungai-petani-kedah,1978-07-08,Kedah,P.013 Sungai Petani
p015-sungai-petani-kedah,1974-08-24,Kedah,P.013 Sungai Petani
p015-sungai-petani-kedah,1969-05-10,Kedah,P.012 Sungei Patani
p015-sungai-petani-kedah,1964-04-25,Kedah,P.012 Sungei Patani
p015-sungai-petani-kedah,1959-05-20,Kedah,P.012 Sungei Patani
p015-sungai-petani-kedah,1955-07-25,Kedah,P.042 Sungei Muda
p016-baling-kedah,2022-11-19,Kedah,P.016 Baling
p016-baling-kedah,2018-05-09,Kedah,P.016 Baling
p016-baling-kedah,2013-05-05,Kedah,P.016 Baling
p016-baling-kedah,2008-03-08,Kedah,P.016 Baling
p016-baling-kedah,2004-03-21,Kedah,P.016 Baling
p016-baling-kedah,1999-11-29,Kedah,P.016 Baling
p016-baling-kedah,1995-04-24,Kedah,P.016 Baling
p016-baling-kedah,1990-10-20,Kedah,P.013 Baling
p016-baling-kedah,1986-08-02,Kedah,P.013 Baling
p016-baling-kedah,1982-04-22,Kedah,P.010 Baling
p016-baling-kedah,1978-07-08,Kedah,P.010 Baling
p016-baling-kedah,1974-08-24,Kedah,P.010 Baling
p016-baling-kedah,1969-05-10,Kedah,P.011 Baling
p016-baling-kedah,1964-04-25,Kedah,P.011 Baling
p016-baling-kedah,1959-05-20,Kedah,P.011 Baling
p016-baling-kedah,1955-07-25,Kedah,P.042 Sungei Muda
p017-padang-serai-kedah,2022-12-07,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,2018-05-09,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,2013-05-05,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,2008-03-08,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,2004-03-21,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,1999-11-29,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,1995-04-24,Kedah,P.017 Padang Serai
p017-padang-serai-kedah,1990-10-20,Kedah,P.015 Padang Serai
p017-padang-serai-kedah,1986-08-02,Kedah,P.015 Padang Serai
p017-padang-serai-kedah,1982-04-22,Kedah,P.014 Padang Serai
p017-padang-serai-kedah,1978-07-08,Kedah,P.014 Padang Serai
p017-padang-serai-kedah,1974-08-24,Kedah,P.014 Padang Serai
p017-padang-serai-kedah,1969-05-10,Kedah,P.013 Kulim Utara
p017-padang-serai-kedah,1964-04-25,Kedah,P.013 Kulim Utara
p017-padang-serai-kedah,1959-05-20,Kedah,P.013 Kulim Utara
p017-padang-serai-kedah,1955-07-25,Kedah,P.043 Kedah Selatan
p018-kulim-bandar-baharu-kedah,2022-11-19,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,2018-05-09,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,2013-05-05,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,2008-03-08,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,2004-03-21,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,1999-11-29,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,1995-04-24,Kedah,P.018 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,1990-10-20,Kedah,P.016 Kulim-Bandar Baharu
p018-kulim-bandar-baharu-kedah,1986-08-02,Kedah,P.016 Kulim-Bandar Baharu
